aardvark,Animal
agate,Gem
alexandrite,Gem
almond,Fruits & Vegetables
amethyst,Gem
anteater,Animal
ape,Animal
apple,Fruits & Vegetables
apricot,Fruits & Vegetables
aquamarine,Gem
artichoke,Fruits & Vegetables
avocado,Fruits & Vegetables
badger,Animal
banana,Fruits & Vegetables
bat,Animal
bear,Animal
beaver,Animal
blackberry,Fruits & Vegetables
blueberry,Fruits & Vegetables
book,School
breadfruit,Fruits & Vegetables
broccoli,Fruits & Vegetables
bug,Animal
cabbage,Fruits & Vegetables
calculator,School
cantaloupe,Fruits & Vegetables
carrot,Fruits & Vegetables
cashew,Fruits & Vegetables
cat,Animal
cauliflower,Fruits & Vegetables
cherry,Fruits & Vegetables
chicken,Animal
cilantro,Fruits & Vegetables
clam,Animal
coconut,Fruits & Vegetables
computer,School
corn,Fruits & Vegetables
cow,Animal
crab,Animal
crabapple,Fruits & Vegetables
cranberry,Fruits & Vegetables
crow,Animal
cucumber,Fruits & Vegetables
currant,Fruits & Vegetables
date,Fruits & Vegetables
deer,Animal
desk,School
diamond,Gem
dog,Animal
donkey,Animal
dove,Animal
duck,Animal
durian,Fruits & Vegetables
elderberry,Fruits & Vegetables
elephant,Animal
emerald,Gem
essay,School
ferret,Animal
firefly,Animal
fish,Animal
fox,Animal
garlic,Fruits & Vegetables
garnet,Gem
gnat,Animal
goat,Animal
goose,Animal
grape,Fruits & Vegetables
grapefruit,Fruits & Vegetables
guava,Fruits & Vegetables
hamster,Animal
homework,School
honeydew,Fruits & Vegetables
horse,Animal
huckleberry,Fruits & Vegetables
human,Animal
jasper,Gem
jellyfish,Animal
jujube,Fruits & Vegetables
juneberry,Fruits & Vegetables
kangaroo,Animal
kiwi,Fruits & Vegetables
kumquat,Fruits & Vegetables
lemon,Fruits & Vegetables
lettuce,Fruits & Vegetables
lime,Fruits & Vegetables
lion,Animal
lobster,Animal
loganberry,Fruits & Vegetables
lychee,Fruits & Vegetables
mango,Fruits & Vegetables
monkey,Animal
moose,Animal
mouse,Animal
mushroom,Fruits & Vegetables
nectarine,Fruits & Vegetables
octopus,Animal
opal,Gem
orange,Fruits & Vegetables
ostrich,Animal
otter,Animal
owl,Animal
papaya,Fruits & Vegetables
paper,School
parsley,Fruits & Vegetables
pea,Fruits & Vegetables
peach,Fruits & Vegetables
peacock,Animal
peanut,Fruits & Vegetables
pear,Fruits & Vegetables
pearl,Gem
pecan,Fruits & Vegetables
pencil,School
penguin,Animal
pepper,Fruits & Vegetables
peridot,Gem
persimmon,Fruits & Vegetables
pig,Animal
pigeon,Animal
pineapple,Fruits & Vegetables
pistachio,Fruits & Vegetables
plum,Fruits & Vegetables
pomegranate,Fruits & Vegetables
potato,Fruits & Vegetables
pumpkin,Fruits & Vegetables
python,Animal
quartz,Gem
quince,Fruits & Vegetables
quinoa,Fruits & Vegetables
rabbit,Animal
radish,Fruits & Vegetables
raspberry,Fruits & Vegetables
rat,Animal
raven,Animal
rhubarb,Fruits & Vegetables
rowan,Fruits & Vegetables
ruby,Gem
rutabaga,Fruits & Vegetables
sapphire,Gem
sardonyx,Gem
seal,Animal
serviceberry,Fruits & Vegetables
sheep,Animal
sloth,Animal
snail,Animal
snake,Animal
spider,Animal
squirrel,Animal
strawberry,Fruits & Vegetables
sugilite,Gem
swan,Animal
tangerine,Fruits & Vegetables
teacher,School
tomato,Fruits & Vegetables
topaz,Gem
turquoise,Gem
watermelon,Fruits & Vegetables
weasel,Animal
whale,Animal
wolf,Animal
yam,Fruits & Vegetables
zebra,Animal
zircon,Gem
zucchini,Fruits & Vegetables
